rank,category,name,price,location,rating,sold,url,image
20,laptop,"LENOVO IDEAPAD AMD A9 RAM 4GB - 512GB SSD // WINDOWS 10 // 14'' - Grey, 4GB/500GB",2600000.0,Jakarta Barat,4.4,100.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/5/3/8797d032-015e-47e8-bbc2-341024d94082.jpg
8,laptop,ASUS VIVOBOOK 14X M1403QA RYZEN 5 5600H 8GB 512SSD W11+OHS IPS 14WUXGA,7989000.0,Jakarta Utara,4.9,1000.0,https://www.tokopedia.com/amd-id/asus-vivobook-14x-m1403qa-ryzen-5-5600h-8gb-512ssd-w11-ohs-ips-14wuxga-silver-8gb-no-bundling,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/12/f884ac3c-0cb4-4ad8-ba42-e296bd650b8e.png
4,laptop,TERLARIS ! Laptop ACER Aspire Core i3 Ram 8GB/1TB Windows 10 14 inch,1932000.0,Jakarta Barat,4.3,60.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/7/27/be5ad845-b28f-49db-82ca-b8db57626a4c.jpg
6,laptop,"Laptop ADVAN Soulmate Celeron N4020 4GB/128GB (upgradable) 14"" HD",2249000.0,Jakarta Utara,4.9,1000.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/5/18/eef7eef1-f9d9-43d0-b007-88934d061d21.jpg
73,laptop,"ASUS VivoBook Ultra 15 OLED K513EA I5-1135G7 8G 512G 15.6""OLED W11 OHS",10699000.0,Jakarta Pusat,4.9,100.0,https://www.tokopedia.com/collinsofficial/asus-vivobook-ultra-15-oled-k513ea-i5-1135g7-8g-512g-15-6-oled-w11-ohs,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/2/24/bc9b96d7-e5a9-46d2-a65b-bca1146e34c1.jpg
9,laptop,"HP CHROMEBOOK 11 G8 / N4020/4GB/160GB/11.6""HD LAPTOP PELAJAR MURAH",1899000.0,Jakarta Utara,4.9,2000.0,https://www.tokopedia.com/agreshpauthorized/hp-chromebook-11-g8-n4020-4gb-160gb-11-6-hd-laptop-pelajar-murah-fs-32gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/4/28/e020ef29-18e0-49a1-b164-7a78d50b4832.png
35,laptop,LAPTOP TABLET LENOVO THINKPAD X1 CARBON 2 IN 1 Core i5 7TH 8GB/128GB,3250000.0,Jakarta Barat,4.3,27.0,Produk tidak dapat diklik karena Iklan / ADS,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/12/14/a1c1dc26-9d17-4343-b57e-c9a4909c7bca.png
74,laptop,"ASUS VIVOBOOK ULTRA 15 K513EA i3 1115G4 4/8GB 256GB 15.6""OLED W10 OHS",7928000.0,Jakarta Pusat,4.9,500.0,https://www.tokopedia.com/collinsofficial/asus-vivobook-ultra-15-k513ea-i3-1115g4-4-8gb-256gb-15-6-oled-w10-ohs-ram4gb-ssd512gb,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/3/22/65b2a034-ad6a-4a6f-8a38-87b6c9a8d0ea.jpg
43,laptop,"Macbook Pro M1 Pro Max 2021 1TB 512GB SSD 16"" &amp; 14"" Inch RAM 32GB 16GB",24570000.0,Jakarta Pusat,4.9,750.0,https://www.tokopedia.com/studioponsel/macbook-pro-m1-pro-max-2021-1tb-512gb-ssd-16-14-inch-ram-32gb-16gb-14-cpo-16-512-grey-inter,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/13/a7a36068-8899-4673-9230-f5ef045d1cb3.jpg
57,laptop,Lenovo Thinkpad X270 Touchscreen Core i5 Gen6 8/256GB Ultrabook Mulus,2150000.0,Jakarta Barat,4.9,500.0,https://www.tokopedia.com/electrocom/lenovo-thinkpad-x270-touchscreen-core-i5-gen6-8-256gb-ultrabook-mulus-x260-i5-gen6-ram-4-128gb-ssd,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/2/21/612ef44e-a12d-4691-a283-8f6d4a174824.png
